product,store,price,category,price_numeric
"Cortelazzi Sýr Parmigiano Reggiano extra vyzrálý 30 měsíců, balený",kosik,1 066.00,Sýry,
Hochland Almette tvarohový sýr smetanový,kosik,399.33,Sýry,399.33
Smetanito Střívko krémové tavený sýr,kosik,249.00,Sýry,249.0
Authentic Farmářská Gouda semi-mature s chilli,kosik,679.90,Sýry,679.9
Cheddar red uzený freshpack bloček,kosik,489.90,Sýry,489.9
Saský tvarůžek ,kosik,479.20,Sýry,479.2
Galbani Burrata ,kosik,572.67,Sýry,572.67
Président Rondelé se solí,kosik,529.00,Sýry,529.0
Tany Šumavský sýr smetanový,kosik,243.33,Sýry,243.33
Pâturages Strouhaný Ementál,kosik,399.00,Sýry,399.0
Authentic Farmářský Jadel,kosik,489.90,Sýry BIO a farmářské,489.9
Smetanito Sýr na gril a na pánev,kosik,104.90,Sýry,104.9
Cortelazzi Sýr Burrata z kravského mléka,kosik,479.20,Sýry,479.2
Formagia Ricotta,kosik,139.60,Sýry,139.6
Madeta Sýr na pánev klasik 2x50g,kosik,419.00,Sýry,419.0
Biofarma DoRa BIO Pomazánkový sýr,kosik,399.00,Sýry BIO a farmářské,399.0
Tami Tatranský Rival,kosik,332.50,Sýry,332.5
Frenchi Brie,kosik,774.50,Sýry,774.5
Authentic Farmářský kozí sýr,kosik,1 079.00,Sýry,
Smetanito tavený sýr krémový,kosik,413.57,Sýry,413.57
Zlatý Sýr Emmentaler plátky,kosik,529.00,Sýry,529.0
Metro Chef Edam 40% sýr plátky,kosik,239.80,Sýry,239.8
Authentic Farmářská Parenica,kosik,479.90,Sýry BIO a farmářské,479.9
Formagia Mozzarella Mini,kosik,359.20,Sýry,359.2
Monoprix Gourmet Strouhaný sýr Parmigiano Reggiano,kosik,998.57,Sýry,998.57
"ARO Tilsiter sýr 45%, plátky",kosik,299.75,Sýry,299.75
Ambrosi Grana Padano 9měsíční D.O.P. sýr,kosik,699.50,Sýry,699.5
Olma Olmín Sýr zrající s plísní,kosik,399.00,Sýry,399.0
Koliós Feta P.D.O. bez laktózy,kosik,532.67,Mléčné,532.67
Madeta Jihočeský Cottage pažitka,kosik,199.33,Sýry,199.33
Maldera Burratina s lanýži,kosik,559.20,Sýry,559.2
Lakmilk Žervé s kapií,kosik,186.25,Sýry,186.25
Milsy Lactino Bánovecké sýrové nitě uzené bez laktózy,kosik,532.22,Mléčné,532.22
Président Camembert sýr s chilli,kosik,532.22,Sýry,532.22
Milko Kozí gouda plátky ,kosik,679.00,Sýry,679.0
Král Sýrů Krémový,kosik,474.17,Sýry,474.17
Milko Žervé s kozím tvarohem,kosik,311.25,Sýry,311.25
Président Tavený se smetanou 3x50g,kosik,326.00,Sýry,326.0
Authentic Farmářská Gouda mature,kosik,679.90,Sýry,679.9
Président Tavený se sýrem Cheddar 3x50g,kosik,326.00,Sýry,326.0
"Wyke Cheddar zralý, strouhaný",kosik,499.44,Sýry,499.44
Laita Brie Chateaux de France,kosik,444.50,Sýry,444.5
Authentic Farmářské sýrové uzlíky uzené,kosik,539.90,Sýry BIO a farmářské,539.9
Apetito Palivec pikantní tavený sýr s feferonkami (3 ks),kosik,377.86,Sýry,377.86
Ambrosi Pecorino Romano D.O.P. sýr,kosik,799.50,Sýry,799.5
Casino Smetanová pomazánka,kosik,266.00,Sýry,266.0
Wyke Cheddar jemný,kosik,449.50,Sýry,449.5
Agrofarma Parenica neuzená,kosik,624.11,Sýry BIO a farmářské,624.11
Zlatý Sýr Tilsiter plátky,kosik,312.67,Sýry,312.67
Madeta Madeland Light 30% sýr holandského typu,kosik,429.00,Sýry,429.0
Wyke Cheddar zralý,kosik,499.50,Sýry,499.5
Dublin Dairy Irish Cheddar Mix strouhaný,kosik,599.33,Sýry,599.33
Meggle Cottage Cheese bez laktózy,kosik,249.44,Mléčné,249.44
"Casino Petit chévres kozí sýr, 10x 20 g",kosik,499.50,Sýry,499.5
Liptov Pološtiepok na gril a pánev,kosik,440.83,Sýry,440.83
Ambrosi Burrata sýr chlazený,kosik,474.50,Sýry,474.5
Italat Mozzarella třešinky uzené,kosik,449.00,Sýry,449.0
ALNATURA BIO Sýr čerstvý Natur,kosik,342.29,Sýry,342.29
Smetanito Střívko s ementálem tavený sýr,kosik,249.00,Mléčné,249.0
